value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139718327122240,nx_10
deploy,speech-inference,faas-workloads/speech-inference-tflite,139718327123680,rockpi_30
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139718327141040,rockpi_30
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139718327141904,nano_3
deploy,python-pi,faas-workloads/python-pi,139718327143056,rockpi_8
deploy,fio,faas-workloads/fio,139718327143872,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139718327122240,nx_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,139718327123680,rockpi_8
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139718327141904,nano_17
deploy,python-pi,faas-workloads/python-pi,139718327143056,nx_10
deploy,fio,faas-workloads/fio,139718327143872,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139718327122240,nano_15
deploy,speech-inference,faas-workloads/speech-inference-tflite,139718327123680,coral_1
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139718327141904,nano_26
deploy,python-pi,faas-workloads/python-pi,139718327143056,coral_3
deploy,fio,faas-workloads/fio,139718327143872,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139718327122240,nx_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,139718327123680,rpi3_5
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139718327141904,nano_18
deploy,python-pi,faas-workloads/python-pi,139718327143056,rockpi_13
deploy,fio,faas-workloads/fio,139718327143872,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139718327122240,nano_19
