value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140386780690848,nx_0
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140386780692048,nano_15
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140386780693312,nano_17
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140386780694512,nano_0
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,rockpi_30
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780697152,rockpi_30
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780698352,rockpi_25
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140386780699264,rockpi_25
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140386780700128,nx_12
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140386780701328,nano_1
deploy,python-pi,faas-workloads/python-pi,140386780702480,rockpi_16
deploy,python-pi-downtown,faas-workloads/python-pi,140386780703296,rockpi_16
deploy,python-pi-suburb,faas-workloads/python-pi,140386780704112,rockpi_23
deploy,python-pi-industrial,faas-workloads/python-pi,140386780704928,rockpi_23
deploy,python-pi-residential,faas-workloads/python-pi,140386780705744,nx_0
deploy,fio,faas-workloads/fio,140386780706560,rpi3_21
deploy,fio-downtown,faas-workloads/fio,140386780707376,rpi3_21
deploy,fio,faas-workloads/fio,140386780706560,rpi3_22
deploy,fio,faas-workloads/fio,140386780706560,rpi3_22
deploy,fio,faas-workloads/fio,140386780706560,rpi3_23
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,coral_0
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780697152,rpi3_27
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780698352,rpi3_28
deploy,python-pi,faas-workloads/python-pi,140386780702480,rpi3_29
deploy,python-pi-industrial,faas-workloads/python-pi,140386780704928,rockpi_4
deploy,python-pi-residential,faas-workloads/python-pi,140386780705744,rockpi_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,rockpi_11
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780697152,rockpi_11
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780698352,coral_1
deploy,python-pi,faas-workloads/python-pi,140386780702480,coral_2
deploy,python-pi-suburb,faas-workloads/python-pi,140386780704112,coral_3
deploy,python-pi-industrial,faas-workloads/python-pi,140386780704928,nx_12
deploy,python-pi-residential,faas-workloads/python-pi,140386780705744,rockpi_33
deploy,fio,faas-workloads/fio,140386780706560,rpi3_23
deploy,fio,faas-workloads/fio,140386780706560,rpi3_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,rockpi_11
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780697152,rockpi_11
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780698352,coral_1
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140386780699264,coral_2
deploy,python-pi,faas-workloads/python-pi,140386780702480,nx_12
deploy,python-pi-downtown,faas-workloads/python-pi,140386780703296,rockpi_33
deploy,python-pi-suburb,faas-workloads/python-pi,140386780704112,rockpi_33
deploy,fio,faas-workloads/fio,140386780706560,rpi3_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780698352,rockpi_11
deploy,python-pi,faas-workloads/python-pi,140386780702480,rockpi_5
deploy,python-pi-downtown,faas-workloads/python-pi,140386780703296,rockpi_24
deploy,python-pi-suburb,faas-workloads/python-pi,140386780704112,rockpi_24
deploy,fio,faas-workloads/fio,140386780706560,rpi3_4
deploy,fio,faas-workloads/fio,140386780706560,rpi3_4
deploy,fio,faas-workloads/fio,140386780706560,rpi3_5
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,rockpi_11
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780697152,rockpi_11
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780698352,coral_1
deploy,fio,faas-workloads/fio,140386780706560,rpi3_5
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,rockpi_33
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780697152,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780698352,rockpi_5
deploy,fio,faas-workloads/fio,140386780706560,rpi3_0
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,rockpi_11
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780697152,rockpi_11
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780698352,coral_1
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140386780699264,nx_12
deploy,python-pi-suburb,faas-workloads/python-pi,140386780704112,rockpi_33
deploy,fio,faas-workloads/fio,140386780706560,rpi3_0
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780697152,coral_1
deploy,fio,faas-workloads/fio,140386780706560,rpi3_1
deploy,fio,faas-workloads/fio,140386780706560,rpi3_1
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,rockpi_11
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780697152,rockpi_11
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780698352,coral_1
deploy,python-pi-suburb,faas-workloads/python-pi,140386780704112,nx_12
deploy,fio,faas-workloads/fio,140386780706560,rpi3_2
deploy,fio,faas-workloads/fio,140386780706560,rpi3_2
deploy,fio,faas-workloads/fio,140386780706560,rpi3_15
deploy,fio,faas-workloads/fio,140386780706560,rpi3_15
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,rockpi_11
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,140386780697152,rockpi_11
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,140386780698352,coral_1
deploy,python-pi-suburb,faas-workloads/python-pi,140386780704112,nx_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,140386780695952,rockpi_33
deploy,fio,faas-workloads/fio,140386780706560,rpi3_16
deploy,fio,faas-workloads/fio,140386780706560,rpi3_16
deploy,fio,faas-workloads/fio,140386780706560,rpi3_17
