value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nx_10
deploy,speech-inference,faas-workloads/speech-inference-tflite,139668512178240,rockpi_30
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139668512179104,rockpi_30
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nano_3
deploy,python-pi,faas-workloads/python-pi,139668512181120,rockpi_8
deploy,fio,faas-workloads/fio,139668512181936,rpi3_3
deploy,python-pi,faas-workloads/python-pi,139668512181120,rockpi_8
deploy,fio,faas-workloads/fio,139668512181936,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nx_3
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nano_17
deploy,python-pi,faas-workloads/python-pi,139668512181120,nx_10
deploy,fio,faas-workloads/fio,139668512181936,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nano_15
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nano_26
deploy,python-pi,faas-workloads/python-pi,139668512181120,coral_1
deploy,fio,faas-workloads/fio,139668512181936,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nx_13
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nano_18
deploy,python-pi,faas-workloads/python-pi,139668512181120,coral_3
deploy,fio,faas-workloads/fio,139668512181936,rpi3_5
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nano_19
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nx_4
deploy,python-pi,faas-workloads/python-pi,139668512181120,rockpi_13
deploy,fio,faas-workloads/fio,139668512181936,rpi3_5
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nano_9
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nano_12
deploy,python-pi,faas-workloads/python-pi,139668512181120,rockpi_13
deploy,fio,faas-workloads/fio,139668512181936,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nano_21
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nx_7
deploy,python-pi,faas-workloads/python-pi,139668512181120,nx_3
deploy,fio,faas-workloads/fio,139668512181936,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nano_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139668512178240,rockpi_12
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nx_11
deploy,python-pi,faas-workloads/python-pi,139668512181120,rockpi_12
deploy,fio,faas-workloads/fio,139668512181936,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nano_22
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nano_10
deploy,python-pi,faas-workloads/python-pi,139668512181120,rockpi_5
deploy,fio,faas-workloads/fio,139668512181936,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nano_11
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nano_28
deploy,python-pi,faas-workloads/python-pi,139668512181120,rockpi_5
deploy,fio,faas-workloads/fio,139668512181936,rpi3_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nano_0
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nano_1
deploy,python-pi,faas-workloads/python-pi,139668512181120,rockpi_21
deploy,fio,faas-workloads/fio,139668512181936,rpi3_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nano_2
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nano_5
deploy,python-pi,faas-workloads/python-pi,139668512181120,rockpi_21
deploy,fio,faas-workloads/fio,139668512181936,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139668512160304,nx_5
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139668512179968,nx_12
