value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nx_10
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nano_3
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139686157386368,nx_3
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_17
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_30
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_30
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_8
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139686157392320,rockpi_8
deploy,resnet50-training,faas-workloads/resnet-training-gpu,139686157393184,nano_15
deploy,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139686157394384,nano_26
deploy,python-pi,faas-workloads/python-pi,139686157395536,nx_10
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,coral_1
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,coral_3
deploy,fio,faas-workloads/fio,139686157397984,rpi3_3
deploy,fio-downtown,faas-workloads/fio,139686157398800,rpi3_3
deploy,fio-suburb,faas-workloads/fio,139686157399616,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nx_13
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nano_18
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_19
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rpi3_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_13
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_13
deploy,python-pi,faas-workloads/python-pi,139686157395536,nx_3
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,rockpi_12
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rockpi_12
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_5
deploy,python-pi,faas-workloads/python-pi,139686157395536,rockpi_21
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,rockpi_21
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rockpi_19
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_21
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139686157392320,rockpi_21
deploy,python-pi,faas-workloads/python-pi,139686157395536,rockpi_19
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,rockpi_19
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,nx_13
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nano_21
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nx_7
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_16
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_16
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_14
deploy,python-pi,faas-workloads/python-pi,139686157395536,rockpi_14
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,nx_4
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_21
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139686157392320,rockpi_19
deploy,python-pi,faas-workloads/python-pi,139686157395536,rockpi_19
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,nx_13
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rockpi_16
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nano_21
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nx_7
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_19
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_16
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_14
deploy,python-pi,faas-workloads/python-pi,139686157395536,rockpi_14
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,nx_4
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_21
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139686157392320,rockpi_19
deploy,python-pi,faas-workloads/python-pi,139686157395536,nx_13
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,rockpi_16
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rockpi_16
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nano_21
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nx_7
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_19
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_14
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_14
deploy,python-pi,faas-workloads/python-pi,139686157395536,nx_4
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,rpi3_21
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_21
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139686157392320,rockpi_19
deploy,python-pi,faas-workloads/python-pi,139686157395536,nx_13
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,rockpi_16
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rockpi_14
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nano_21
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nx_7
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_19
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_14
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,nx_4
deploy,python-pi,faas-workloads/python-pi,139686157395536,rpi3_21
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,rpi3_22
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rpi3_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_21
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139686157392320,rockpi_19
deploy,python-pi,faas-workloads/python-pi,139686157395536,rockpi_16
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,rockpi_14
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,nx_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nano_21
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nx_7
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_19
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rpi3_21
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rpi3_22
deploy,python-pi,faas-workloads/python-pi,139686157395536,rpi3_23
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,rockpi_10
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rockpi_10
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_21
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139686157392320,rockpi_19
deploy,python-pi,faas-workloads/python-pi,139686157395536,rockpi_16
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,nx_4
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nano_21
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nx_7
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_19
deploy,python-pi,faas-workloads/python-pi,139686157395536,rpi3_22
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,rpi3_23
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rockpi_10
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nx_4
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nano_9
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_12
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_5
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139686157390208,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_21
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139686157392320,rockpi_19
deploy,python-pi,faas-workloads/python-pi,139686157395536,rockpi_16
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,nx_4
deploy,python-pi-suburb,faas-workloads/python-pi,139686157397168,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139686157367520,nano_21
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139686157368720,nx_7
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139686157387568,nano_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,139686157389008,rockpi_5
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139686157391408,rockpi_19
deploy,python-pi,faas-workloads/python-pi,139686157395536,rpi3_23
deploy,python-pi-downtown,faas-workloads/python-pi,139686157396352,rockpi_10
