bytes,duration,source,sink,action_type
20000000,0.16764499121468562,registry,rpi3_21,docker_pull
20000000,0.16784154756841277,registry,rpi3_22,docker_pull
62000000,0.514428432457625,registry,rockpi_16,docker_pull
62000000,0.5141971311442727,registry,rockpi_23,docker_pull
40000000,0.6576017692961955,registry,rockpi_30,docker_pull
40000000,0.6590381417624827,registry,rockpi_25,docker_pull
100000000,0.8278291749518977,registry,nx_0,docker_pull
100000000,0.8262211631665509,registry,nano_15,docker_pull
100000000,0.8262558798814615,registry,nano_17,docker_pull
100000000,0.8276198459496531,registry,nano_0,docker_pull
100000000,0.8263038748244198,registry,nx_12,docker_pull
100000000,0.8280163379663112,registry,nano_1,docker_pull
48000000,0.8935286519700004,rpi3_18,rockpi_30,data_download
191000000,2.26065523400567,registry,rockpi_25,docker_pull
48000000,1.843382068833985,rpi3_18,rockpi_25,data_download
48000000,1.968191171095626,rpi3_18,rockpi_30,data_download
103000000,3.0982835676266394,rpi3_18,nx_0,data_download
103000000,3.286114207248307,rpi3_18,nano_17,data_download
103000000,3.4367490875214557,rpi3_18,nano_15,data_download
103000000,3.4678528037463883,rpi3_18,nano_0,data_download
58000000,2.8907433176131647,rpi3_18,nano_1,data_download
58000000,3.044420922925048,rpi3_18,nano_1,data_download
58000000,3.1324322434206886,rpi3_18,nx_12,data_download
58000000,3.1984471131663756,rpi3_18,nx_12,data_download
58000000,3.2185763640647043,rpi3_18,nano_1,data_download
58000000,3.131065954720878,rpi3_18,nano_1,data_download
58000000,2.6840841328371976,rpi3_18,nx_12,data_download
58000000,2.694217516920249,rpi3_18,nx_12,data_download
40000000,0.3328427890443706,registry,rockpi_23,docker_pull
40000000,0.33314877067170556,registry,nx_0,docker_pull
40000000,0.33283156881761045,registry,coral_0,docker_pull
55000000,0.45656124640460405,registry,rpi3_23,docker_pull
55000000,0.4565801522695878,registry,rpi3_27,docker_pull
55000000,0.4570391246183334,registry,rpi3_28,docker_pull
100000000,0.826319601902405,registry,nx_10,docker_pull
100000000,0.8278770440173631,registry,nano_2,docker_pull
100000000,0.8263609681212714,registry,nano_12,docker_pull
100000000,0.8261378494760692,registry,nx_13,docker_pull
48000000,2.110152384658953,rpi3_18,rockpi_23,data_download
48000000,2.11776299039159,rpi3_18,nx_0,data_download
48000000,2.1252292098283334,rpi3_18,coral_0,data_download
103000000,3.4144352761363947,rpi3_18,nano_2,data_download
103000000,3.412846276693287,rpi3_18,nx_13,data_download
103000000,3.6212389598028167,rpi3_18,nano_12,data_download
103000000,3.6370817220525353,rpi3_18,nx_10,data_download
33000000,0.2754458272279834,registry,rpi3_29,docker_pull
62000000,0.5142646928333932,registry,rockpi_11,docker_pull
62000000,0.5144416207332299,registry,coral_1,docker_pull
40000000,0.6552964515133155,registry,rockpi_4,docker_pull
100000000,0.8265065917601859,registry,nx_14,docker_pull
100000000,0.8264265133180118,registry,nx_4,docker_pull
100000000,0.8263228057586218,registry,nx_7,docker_pull
100000000,0.8261777927920875,registry,nano_7,docker_pull
48000000,0.9381573870766786,rpi3_18,rockpi_4,data_download
48000000,1.2948168978344867,rpi3_18,rpi3_29,data_download
48000000,1.6676875514033327,rpi3_18,rockpi_4,data_download
103000000,3.063290186222744,rpi3_18,nx_7,data_download
103000000,3.250605611788032,rpi3_18,nx_4,data_download
103000000,3.3396315422123095,rpi3_18,nano_7,data_download
103000000,3.3743403942038768,rpi3_18,nx_14,data_download
62000000,0.5149908987765173,registry,coral_2,docker_pull
191000000,1.5782572449707715,registry,rockpi_11,docker_pull
48000000,2.7763856689495583,rpi3_18,rpi3_29,data_download
48000000,2.7760573353035767,rpi3_18,rockpi_4,data_download
48000000,2.7759016535816983,rpi3_18,rockpi_4,data_download
103000000,4.175365385099084,rpi3_18,nx_14,data_download
103000000,4.1765346341545495,rpi3_18,nano_7,data_download
103000000,4.2798666850443965,rpi3_18,nx_7,data_download
103000000,4.316260185859704,rpi3_18,nx_4,data_download
40000000,0.33307329511606554,registry,coral_3,docker_pull
40000000,0.3313410095119309,registry,nx_12,docker_pull
62000000,0.5143157662147786,registry,rockpi_5,docker_pull
40000000,0.660574355167995,registry,rockpi_33,docker_pull
100000000,0.8263280042706214,registry,nano_5,docker_pull
100000000,0.8274921132196056,registry,nano_3,docker_pull
100000000,0.8277384874921836,registry,nano_4,docker_pull
100000000,0.8262519638856389,registry,nano_8,docker_pull
62000000,0.9054830467601533,registry,rockpi_33,docker_pull
48000000,1.7359426808818341,rpi3_18,nx_12,data_download
48000000,1.740681666847479,rpi3_18,coral_3,data_download
48000000,2.131743225488762,rpi3_18,rockpi_33,data_download
103000000,3.300783652527784,rpi3_18,nano_8,data_download
103000000,3.4298294158878804,rpi3_18,nano_3,data_download
103000000,3.565996007722063,rpi3_18,nano_5,data_download
103000000,3.6095473507767792,rpi3_18,nano_4,data_download
62000000,0.5143911966546568,registry,coral_3,docker_pull
62000000,0.5129802284423022,registry,nx_12,docker_pull
48000000,2.7748490098024945,rpi3_18,rpi3_29,data_download
48000000,2.776237452452108,rpi3_18,rockpi_4,data_download
48000000,2.7747413335811757,rpi3_18,rockpi_4,data_download
103000000,4.078044252599938,rpi3_18,nx_14,data_download
103000000,4.250937386520221,rpi3_18,nano_7,data_download
103000000,4.341188625772745,rpi3_18,nx_4,data_download
103000000,4.349933108128198,rpi3_18,nx_7,data_download
55000000,0.45658658248747486,registry,rpi3_29,docker_pull
62000000,0.5142529205496658,registry,rockpi_4,docker_pull
103000000,3.3860157487748523,rpi3_18,nano_5,data_download
103000000,3.3924569102219806,rpi3_18,nano_3,data_download
103000000,3.3934660031644768,rpi3_18,nano_4,data_download
103000000,3.3921393683057772,rpi3_18,nano_8,data_download
48000000,2.7761188165112287,rpi3_18,rpi3_29,data_download
48000000,2.7762999622864584,rpi3_18,rockpi_4,data_download
48000000,2.775232031186988,rpi3_18,rockpi_4,data_download
103000000,4.833930095695649,rpi3_18,nx_7,data_download
103000000,4.880275934762494,rpi3_18,nx_4,data_download
103000000,4.913749852991685,rpi3_18,nano_7,data_download
103000000,4.924551394542874,rpi3_18,nx_14,data_download
103000000,5.092872679946112,nx_12,rpi3_18,data_upload
48000000,3.306514477097693,rpi3_18,rockpi_4,data_download
58000000,2.2443418108238404,rpi3_18,nx_12,data_download
103000000,6.063158330114248,rpi3_18,nano_8,data_download
103000000,6.34934605766648,rpi3_18,nano_5,data_download
