value,name,type,data_type
48000000,link_rockpi_4,node,data_download
48000000,shared_7,shared,data_download
48000000,up_shared_7,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_30,node,data_download
48000000,link_rockpi_4,node,data_download
48000000,shared_7,shared,data_download
48000000,up_shared_7,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_8,node,data_download
48000000,link_rockpi_4,node,data_download
48000000,shared_7,shared,data_download
48000000,up_shared_7,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_30,node,data_download
103000000,link_rockpi_4,node,data_download
103000000,shared_7,shared,data_download
103000000,up_shared_7,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_nx_10,node,data_download
103000000,link_rockpi_4,node,data_download
103000000,shared_7,shared,data_download
103000000,up_shared_7,uplink,data_download
103000000,down_shared_1,downlink,data_download
103000000,shared_1,shared,data_download
103000000,link_nx_3,node,data_download
103000000,link_rockpi_4,node,data_download
103000000,shared_7,shared,data_download
103000000,up_shared_7,uplink,data_download
103000000,down_shared_1,downlink,data_download
103000000,shared_1,shared,data_download
103000000,link_nano_17,node,data_download
103000000,link_rockpi_4,node,data_download
103000000,shared_7,shared,data_download
103000000,up_shared_7,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_nano_3,node,data_download
58000000,link_rockpi_4,node,data_download
58000000,shared_7,shared,data_download
58000000,up_shared_7,uplink,data_download
58000000,down_shared_2,downlink,data_download
58000000,shared_2,shared,data_download
58000000,link_nano_15,node,data_download
58000000,link_rockpi_4,node,data_download
58000000,shared_7,shared,data_download
58000000,up_shared_7,uplink,data_download
58000000,down_shared_2,downlink,data_download
58000000,shared_2,shared,data_download
58000000,link_nano_15,node,data_download
58000000,link_rockpi_4,node,data_download
58000000,shared_7,shared,data_download
58000000,up_shared_7,uplink,data_download
58000000,down_shared_2,downlink,data_download
58000000,shared_2,shared,data_download
58000000,link_nano_15,node,data_download
58000000,link_rockpi_4,node,data_download
58000000,shared_7,shared,data_download
58000000,up_shared_7,uplink,data_download
58000000,down_shared_2,downlink,data_download
58000000,shared_2,shared,data_download
58000000,link_nano_26,node,data_download
58000000,link_rockpi_4,node,data_download
58000000,shared_7,shared,data_download
58000000,up_shared_7,uplink,data_download
58000000,down_shared_2,downlink,data_download
58000000,shared_2,shared,data_download
58000000,link_nano_15,node,data_download
58000000,link_rockpi_4,node,data_download
58000000,shared_7,shared,data_download
58000000,up_shared_7,uplink,data_download
58000000,down_shared_2,downlink,data_download
58000000,shared_2,shared,data_download
58000000,link_nano_26,node,data_download
58000000,link_rockpi_4,node,data_download
58000000,shared_7,shared,data_download
58000000,up_shared_7,uplink,data_download
58000000,down_shared_2,downlink,data_download
58000000,shared_2,shared,data_download
58000000,link_nano_26,node,data_download
58000000,link_rockpi_4,node,data_download
58000000,shared_7,shared,data_download
58000000,up_shared_7,uplink,data_download
58000000,down_shared_2,downlink,data_download
58000000,shared_2,shared,data_download
58000000,link_nano_26,node,data_download
48000000,link_rockpi_4,node,data_download
48000000,shared_7,shared,data_download
48000000,up_shared_7,uplink,data_download
48000000,down_shared_1,downlink,data_download
48000000,shared_1,shared,data_download
48000000,link_rockpi_13,node,data_download
48000000,link_rockpi_4,node,data_download
48000000,shared_7,shared,data_download
48000000,up_shared_7,uplink,data_download
48000000,down_shared_1,downlink,data_download
48000000,shared_1,shared,data_download
48000000,link_rpi3_5,node,data_download
48000000,link_rockpi_4,node,data_download
48000000,shared_7,shared,data_download
48000000,up_shared_7,uplink,data_download
48000000,down_shared_1,downlink,data_download
48000000,shared_1,shared,data_download
48000000,link_rockpi_13,node,data_download
103000000,link_rockpi_4,node,data_download
103000000,shared_7,shared,data_download
103000000,up_shared_7,uplink,data_download
103000000,down_shared_3,downlink,data_download
103000000,shared_3,shared,data_download
103000000,link_nx_13,node,data_download
103000000,link_rockpi_4,node,data_download
103000000,shared_7,shared,data_download
103000000,up_shared_7,uplink,data_download
103000000,down_shared_3,downlink,data_download
103000000,shared_3,shared,data_download
103000000,link_nano_19,node,data_download
103000000,link_rockpi_4,node,data_download
103000000,shared_7,shared,data_download
103000000,up_shared_7,uplink,data_download
103000000,down_shared_3,downlink,data_download
103000000,shared_3,shared,data_download
103000000,link_nano_18,node,data_download
48000000,link_rockpi_4,node,data_download
48000000,shared_7,shared,data_download
48000000,up_shared_7,uplink,data_download
48000000,down_shared_2,downlink,data_download
48000000,shared_2,shared,data_download
48000000,link_rockpi_5,node,data_download
48000000,link_rockpi_4,node,data_download
48000000,shared_7,shared,data_download
48000000,up_shared_7,uplink,data_download
48000000,down_shared_2,downlink,data_download
48000000,shared_2,shared,data_download
48000000,link_rockpi_5,node,data_download
103000000,link_rockpi_4,node,data_download
103000000,shared_7,shared,data_download
103000000,up_shared_7,uplink,data_download
103000000,down_shared_4,downlink,data_download
103000000,shared_4,shared,data_download
103000000,link_nx_4,node,data_download
103000000,link_rockpi_4,node,data_download
103000000,shared_7,shared,data_download
103000000,up_shared_7,uplink,data_download
103000000,down_shared_4,downlink,data_download
103000000,shared_4,shared,data_download
