value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,139792967289728,nano_0
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139792967290928,nano_1
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139792967292128,nano_2
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139792967293328,xeongpu_0
deploy,speech-inference,faas-workloads/speech-inference-tflite,139792967295968,rpi4_48
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139792967297168,rpi4_49
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139792967298368,rpi3_54
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139792967299568,rpi3_55
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139792967300480,rpi3_56
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139792967301296,rockpi_14
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139792967302112,rockpi_14
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139792967302928,rockpi_11
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,139792967294768,rpi4_56
deploy,resnet50-training,faas-workloads/resnet-training-cpu,139792967369632,nuc_0
deploy,resnet50-training-downtown,faas-workloads/resnet-training-cpu,139792967370832,nuc_1
deploy,speech-inference,faas-workloads/speech-inference-tflite,139792967295968,rpi4_20
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139792967297168,rpi4_21
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139792967298368,rockpi_22
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139792967299568,rockpi_22
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139792967300480,rockpi_21
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139792967301296,rockpi_21
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139792967302112,rockpi_9
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139792967302928,rockpi_9
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139792967289968,rpi3_45
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-cpu,139792967291168,rpi3_46
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,139792967292368,rpi3_47
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,139792967293568,rpi4_52
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,139792967294768,rpi4_53
deploy,resnet50-training,faas-workloads/resnet-training-cpu,139792967369632,nuc_2
deploy,resnet50-training-downtown,faas-workloads/resnet-training-cpu,139792967370832,nuc_3
deploy,speech-inference,faas-workloads/speech-inference-tflite,139792967295968,rpi3_33
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139792967297168,rpi3_34
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139792967298368,rpi3_35
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139792967299568,rpi4_4
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139792967300480,rpi4_5
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139792967301296,rpi4_50
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139792967302112,rpi4_51
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139792967302928,rpi3_36
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139792967289968,rpi3_37
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-cpu,139792967291168,rpi3_38
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,139792967292368,rpi3_51
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,139792967293568,rpi3_52
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,139792967294768,rpi3_53
deploy,resnet50-training,faas-workloads/resnet-training-cpu,139792967369632,nuc_4
deploy,resnet50-training-downtown,faas-workloads/resnet-training-cpu,139792967370832,nuc_5
deploy,speech-inference,faas-workloads/speech-inference-tflite,139792967295968,rpi4_0
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139792967297168,rpi4_1
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139792967298368,rockpi_8
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139792967299568,rockpi_8
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139792967300480,rockpi_15
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139792967301296,rockpi_15
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139792967302112,coral_2
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139792967302928,coral_3
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139792967289968,rpi4_46
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-cpu,139792967291168,rpi4_47
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,139792967292368,rpi3_15
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,139792967293568,rpi3_16
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,139792967294768,rpi3_17
deploy,resnet50-training,faas-workloads/resnet-training-cpu,139792967369632,nuc_6
deploy,resnet50-training-downtown,faas-workloads/resnet-training-cpu,139792967370832,nuc_7
deploy,speech-inference,faas-workloads/speech-inference-tflite,139792967295968,rockpi_25
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139792967297168,rockpi_25
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139792967298368,rockpi_26
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139792967299568,rockpi_26
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139792967300480,rpi4_36
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139792967301296,rpi4_37
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139792967302112,rockpi_10
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139792967302928,rockpi_10
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139792967289968,rpi3_27
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-cpu,139792967291168,rpi3_28
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,139792967292368,rpi3_29
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,139792967293568,rpi4_44
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,139792967294768,rpi4_45
deploy,resnet50-training,faas-workloads/resnet-training-cpu,139792967369632,nuc_8
deploy,resnet50-training-downtown,faas-workloads/resnet-training-cpu,139792967370832,nuc_9
deploy,speech-inference,faas-workloads/speech-inference-tflite,139792967295968,coral_4
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139792967297168,rpi4_34
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139792967298368,rpi4_35
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139792967299568,rockpi_11
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139792967300480,rpi4_57
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139792967301296,coral_0
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139792967302112,rpi4_54
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139792967302928,rpi4_55
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139792967289968,rpi4_2
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-cpu,139792967291168,rpi4_3
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,139792967292368,rpi3_39
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,139792967293568,rpi3_40
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,139792967294768,rpi3_41
deploy,resnet50-training,faas-workloads/resnet-training-cpu,139792967369632,nuc_10
deploy,resnet50-training-downtown,faas-workloads/resnet-training-cpu,139792967370832,nuc_11
deploy,speech-inference,faas-workloads/speech-inference-tflite,139792967295968,rockpi_17
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139792967297168,rockpi_17
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139792967298368,rockpi_24
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139792967299568,rockpi_24
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139792967300480,rockpi_19
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139792967301296,rockpi_19
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139792967302112,rpi4_28
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139792967302928,rpi4_29
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139792967289968,rpi4_24
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-cpu,139792967291168,rpi4_25
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,139792967292368,rpi4_30
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,139792967293568,rpi4_31
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,139792967294768,rpi4_42
deploy,resnet50-training,faas-workloads/resnet-training-cpu,139792967369632,nuc_12
deploy,resnet50-training-downtown,faas-workloads/resnet-training-cpu,139792967370832,nuc_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,139792967295968,rockpi_30
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139792967297168,rockpi_30
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139792967298368,rockpi_0
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139792967299568,rockpi_0
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139792967300480,rockpi_16
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139792967301296,rockpi_16
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139792967302112,rockpi_18
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139792967302928,rockpi_18
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139792967289968,rpi4_43
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-cpu,139792967291168,rpi3_12
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,139792967292368,rpi3_13
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,139792967293568,rpi3_14
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,139792967294768,rpi4_8
deploy,resnet50-training,faas-workloads/resnet-training-cpu,139792967369632,nuc_14
deploy,resnet50-training-downtown,faas-workloads/resnet-training-cpu,139792967370832,nuc_15
deploy,speech-inference,faas-workloads/speech-inference-tflite,139792967295968,rockpi_23
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139792967297168,rockpi_23
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139792967298368,rockpi_31
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139792967299568,rockpi_31
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139792967300480,rockpi_4
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139792967301296,rockpi_4
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139792967302112,rockpi_3
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139792967302928,rockpi_3
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139792967289968,rpi4_9
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-cpu,139792967291168,rpi4_26
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,139792967292368,rpi4_27
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,139792967293568,rpi4_16
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,139792967294768,rpi4_17
deploy,resnet50-training,faas-workloads/resnet-training-cpu,139792967369632,nuc_16
deploy,resnet50-training-downtown,faas-workloads/resnet-training-cpu,139792967370832,nuc_17
deploy,speech-inference,faas-workloads/speech-inference-tflite,139792967295968,rockpi_28
deploy,speech-inference-downtown,faas-workloads/speech-inference-tflite,139792967297168,rockpi_28
deploy,speech-inference-suburb,faas-workloads/speech-inference-tflite,139792967298368,rockpi_13
deploy,speech-inference-industrial,faas-workloads/speech-inference-tflite,139792967299568,rockpi_13
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139792967300480,rockpi_6
deploy,resnet50-preprocessing-downtown,faas-workloads/resnet-preprocessing,139792967301296,rockpi_6
deploy,resnet50-preprocessing-suburb,faas-workloads/resnet-preprocessing,139792967302112,rockpi_5
deploy,resnet50-preprocessing-industrial,faas-workloads/resnet-preprocessing,139792967302928,rockpi_5
deploy,resnet50-inference,faas-workloads/resnet-inference-cpu,139792967289968,rpi4_22
deploy,resnet50-inference-downtown,faas-workloads/resnet-inference-cpu,139792967291168,rpi4_23
deploy,resnet50-inference-suburb,faas-workloads/resnet-inference-cpu,139792967292368,rpi4_38
deploy,resnet50-inference-industrial,faas-workloads/resnet-inference-cpu,139792967293568,rpi4_39
deploy,resnet50-inference-residential,faas-workloads/resnet-inference-cpu,139792967294768,rpi3_24
deploy,resnet50-training,faas-workloads/resnet-training-cpu,139792967369632,nuc_0
